Keyword,Expected,Algorithm Accuracy Result,Priority Number,Recommendation Accuracy Result
yok,yôk,0.67,6,0.50
yoh,yôh,0.67,8,0.30
weng,wéng,0.75,2,0.90
weh,wèh,0.67,2,0.90
wase,wasé,0.75,2,0.90
wareh,waréh,0.80,2,0.90
wajek,wajék,0.80,1,1.00
wajeb,wajéb,0.80,1,1.00
utom,utôm,0.75,2,0.90
utoh,utôh,0.75,2,0.90
usos,usôs,0.75,2,0.90
use,usé,0.67,2,0.90
urotan,urôtan,0.83,1,1.00
urosan,urôsan,0.83,1,1.00
urong,urông,0.80,3,0.80
seukreng,seukréng,0.88,1,1.00
uree,urèe,0.75,2,0.90
unyet,unyèt,0.80,1,1.00
untong,untông,0.83,1,1.00
unggoi,unggôi,0.83,1,1.00
uleh,uléh,0.75,1,1.00
ulee,ulèe,0.75,4,0.70
ukoran,ukôran,0.83,1,1.00
ukom,ukôm,0.75,1,1.00
uko,uké,0.67,1,1.00
ukee,ukeè,0.75,2,0.90
uke,uké,0.67,1,1.00
ujop,ujôp,0.75,1,1.00
ujong,ujông,0.80,1,1.00
udep,udép,0.75,1,1.00
tutoong,tutôong,0.86,1,1.00
tuto,tutô,0.75,3,0.80
turonan,turônan,0.86,1,1.00
turon-muron,turôn-murôn,0.82,1,1.00
tupee,tupée,0.80,2,0.90
tungkoi,tungkôi,0.86,1,1.00
tumpok,tumpôk,0.83,1,1.00
tumpoi,tumpôi,0.83,1,1.00
tumet,tumèt,0.80,2,0.90
tumon,tumôn,0.80,2,0.90
tulong,tulông,0.83,1,1.00
tuleh,tuléh,0.80,1,1.00
tuka-take,tuka-také,0.89,1,1.00
tujoh,tujôh,0.80,1,1.00
tujoan,tujôan,0.83,1,1.00
tudoh,tudôh,0.80,1,1.00
tuboh,tubôh,0.80,3,0.80
tubee,tubèe,0.80,2,0.90
tron,trôn,0.75,5,0.60
trompet,trompèt,0.86,1,1.00
troh,trôh,0.75,6,0.50
triplek,triplèk,0.86,1,1.00
trep,trép,0.75,1,1.00
tot,tôt,0.67,9,0.20
topeng,topèng,0.83,1,1.00
top,tôp,0.67,2,0.90
tong,tông,0.75,1,1.00
titep,titèp,0.80,1,1.00
titel,titèl,0.80,1,1.00
titek,titék,0.80,2,0.90
tireh,tiréh,0.80,1,1.00
tiree,tirèe,0.80,1,1.00
tipoih,tipôih,0.83,1,1.00
tipee,tipèe,0.80,1,1.00
tiong,tiông,0.80,1,1.00
tinggong,tinggông,0.88,1,1.00
tilek,tilék,0.80,1,1.00
tikoh,tikôh,0.80,2,0.90
tiket,tikèt,0.80,1,1.00
tho,thô,0.67,1,1.00
teutop,teutôp,0.83,2,0.90
teurupong,teurupông,0.89,1,1.00
teurmometer,teurmomètèr,0.82,1,1.00
teureubeh,teureubéh,0.89,1,1.00
teupreh,teuprèh,0.86,1,1.00
teupong,teupông,0.86,1,1.00
teupileh,teupiléh,0.88,1,1.00
teupeulindong,teupeulindông,0.92,1,1.00
teunumpok,teunumpôk,0.89,1,1.00
teuntee,teuntèe,0.86,1,1.00
teunireh,teuniréh,0.88,1,1.00
teuniree,teunirèe,0.88,1,1.00
teuneuboh,teuneubôh,0.89,1,1.00
teunaroh,teunarôh,0.88,1,1.00
teumiree,teumirèe,0.88,1,1.00
teumipee,teumipèe,0.88,1,1.00
teumeutot,teumeutôt,0.89,1,1.00
teumbon,teumbôn,0.86,1,1.00
teumasok,teumasôk,0.88,1,1.00
teumakot,teumakôt,0.88,1,1.00
teulok,teulôk,0.83,2,0.90
teulhon,teulhôn,0.86,1,1.00
teuleubeh,teuleubèh,0.89,1,1.00
teukeseh,teukeséh,0.88,1,1.00
teukejot,teukejôt,0.88,1,1.00
teugok,teugôk,0.83,4,0.70
teugoh,teugôh,0.83,6,0.50
teugo,teugô,0.80,3,0.80
teuceuek,teuceuèk,0.88,1,1.00
teuboh,teubôh,0.83,3,0.80
Total Accuracy Results:,,80.81,,93.10
Total Percentage Accuracy:,,80.8%,,93.1%
