Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
yok,yôk,0.80,4,1.00,1.00,1.00
yoh,yôh,0.80,2,1.00,1.00,1.00
weng,wéng,0.85,1,1.00,1.00,1.00
weh,wèh,0.80,2,1.00,1.00,1.00
wase,wasé,0.88,3,1.00,1.00,1.00
wareh,waréh,0.91,3,1.00,1.00,1.00
wajek,wajék,0.91,1,1.00,1.00,1.00
wajeb,wajéb,0.91,1,1.00,1.00,1.00
utom,utôm,0.87,2,1.00,1.00,1.00
utoh,utôh,0.87,1,1.00,1.00,1.00
usos,usôs,0.87,8,1.00,1.00,1.00
use,usé,0.82,4,1.00,1.00,1.00
urotan,urôtan,0.91,1,1.00,1.00,1.00
urosan,urôsan,0.91,1,1.00,1.00,1.00
urong,urông,0.89,1,1.00,1.00,1.00
seukreng,seukréng,0.96,2,1.00,1.00,1.00
uree,urèe,0.87,5,1.00,1.00,1.00
unyet,unyèt,0.91,1,1.00,1.00,1.00
untong,untông,0.92,1,1.00,1.00,1.00
unggoi,unggôi,0.93,1,1.00,1.00,1.00
uleh,uléh,0.87,1,1.00,1.00,1.00
ulee,ulèe,0.87,7,1.00,1.00,1.00
ukoran,ukôran,0.91,2,1.00,1.00,1.00
ukom,ukôm,0.87,1,1.00,1.00,1.00
uko,ukô,0.82,4,1.00,1.00,1.00
ukee,ukeè,0.88,4,1.00,1.00,1.00
uke,ukeè,0.94,1,1.00,1.00,1.00
ujop,ujôp,0.87,2,1.00,1.00,1.00
ujong,ujông,0.89,1,1.00,1.00,1.00
udep,udép,0.87,1,1.00,1.00,1.00
tutoong,tutôong,0.93,1,1.00,1.00,1.00
tuto,tutôong,0.90,4,1.00,1.00,1.00
turonan,turônan,0.93,1,1.00,1.00,1.00
turon-muron,turôn-murôn,0.92,1,1.00,1.00,1.00
tupee,tupée,0.91,2,1.00,1.00,1.00
tungkoi,tungkôi,0.95,1,1.00,1.00,1.00
tumpok,tumpôk,0.93,2,1.00,1.00,1.00
tumpoi,tumpôi,0.93,1,1.00,1.00,1.00
tumet,tumèt,0.91,2,1.00,1.00,1.00
tumon,tumôn,0.91,1,1.00,1.00,1.00
tulong,tulông,0.92,3,1.00,1.00,1.00
tuleh,tuléh,0.91,1,1.00,1.00,1.00
tuka-take,tuka-také,0.96,1,1.00,1.00,1.00
tujoh,tujôh,0.91,1,1.00,1.00,1.00
tujoan,tujôan,0.92,1,1.00,1.00,1.00
tudoh,tudôh,0.91,1,1.00,1.00,1.00
tuboh,tubôh,0.91,1,1.00,1.00,1.00
tubee,tubèe,0.91,2,1.00,1.00,1.00
tron,trôn,0.87,6,1.00,1.00,1.00
trompet,trompèt,0.95,1,1.00,1.00,1.00
troh,trôh,0.87,2,1.00,1.00,1.00
triplek,triplèk,0.95,1,1.00,1.00,1.00
trep,trép,0.87,1,1.00,1.00,1.00
tot,topèng,0.87,2,1.00,1.00,1.00
topeng,topèng,0.92,1,1.00,1.00,1.00
top,topèng,0.88,2,1.00,1.00,1.00
tong,topèng,0.91,2,1.00,1.00,1.00
titep,titèp,0.91,2,1.00,1.00,1.00
titel,titèl,0.91,1,1.00,1.00,1.00
titek,titék,0.91,2,1.00,1.00,1.00
tireh,tiréh,0.91,1,1.00,1.00,1.00
tiree,tirèe,0.91,3,1.00,1.00,1.00
tipoih,tipôih,0.92,1,1.00,1.00,1.00
tipee,tipèe,0.91,1,1.00,1.00,1.00
tiong,tiông,0.89,1,1.00,1.00,1.00
tinggong,tinggông,0.96,1,1.00,1.00,1.00
tilek,tilék,0.91,2,1.00,1.00,1.00
tikoh,tikôh,0.91,1,1.00,1.00,1.00
tiket,tikèt,0.91,1,1.00,1.00,1.00
tho,thô,0.82,1,1.00,1.00,1.00
teutop,teutôp,0.93,1,1.00,1.00,1.00
teurupong,teurupông,0.96,1,1.00,1.00,1.00
teurmometer,teurmomètèr,0.94,1,1.00,1.00,1.00
teureubeh,teureubéh,0.96,1,1.00,1.00,1.00
