No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Average Precision
1,yok,yôk,0.80,4,1.00
2,yoh,yôh,0.80,2,1.00
3,weng,wéng,0.85,1,0.00
4,weh,wèh,0.80,2,0.00
5,wase,wasé,0.88,3,1.00
6,wareh,waréh,0.91,3,1.00
7,wajek,wajék,0.91,1,1.00
8,wajeb,wajéb,0.91,1,1.00
9,utom,utôm,0.87,2,1.00
10,utoh,utôh,0.87,1,0.00
11,usos,usôs,0.87,8,0.00
12,use,usé,0.82,4,0.00
13,urotan,urôtan,0.91,1,1.00
14,urosan,urôsan,0.91,1,1.00
15,urong,urông,0.89,1,0.00
16,seukreng,seukréng,0.96,2,1.00
17,uree,urèe,0.87,5,1.00
18,unyet,unyèt,0.91,1,1.00
19,untong,untông,0.92,1,1.00
20,unggoi,unggôi,0.93,1,1.00
21,uleh,uléh,0.87,1,0.00
22,ulee,ulèe,0.87,7,1.00
23,ukoran,ukôran,0.91,2,1.00
24,ukom,ukôm,0.87,1,0.00
25,uko,ukô,0.82,4,0.00
26,ukee,ukeè,0.88,4,1.00
27,uke,ukeè,0.94,1,1.00
28,ujop,ujôp,0.87,2,0.00
29,ujong,ujông,0.89,1,0.00
30,udep,udép,0.87,1,0.00
31,tutoong,tutôong,0.93,1,1.00
32,tuto,tutôong,0.90,4,1.00
33,turonan,turônan,0.93,1,1.00
34,turon-muron,turôn-murôn,0.92,1,1.00
35,tupee,tupée,0.91,2,1.00
36,tungkoi,tungkôi,0.95,1,1.00
37,tumpok,tumpôk,0.93,2,1.00
38,tumpoi,tumpôi,0.93,1,1.00
39,tumet,tumèt,0.91,2,1.00
40,tumon,tumôn,0.91,1,1.00
41,tulong,tulông,0.92,3,1.00
42,tuleh,tuléh,0.91,1,1.00
43,tuka-take,tuka-také,0.96,1,1.00
44,tujoh,tujôh,0.91,1,1.00
45,tujoan,tujôan,0.92,1,1.00
46,tudoh,tudôh,0.91,1,1.00
47,tuboh,tubôh,0.91,1,1.00
48,tubee,tubèe,0.91,2,1.00
49,tron,trôn,0.87,6,1.00
50,trompet,trompèt,0.95,1,1.00
51,troh,trôh,0.87,2,0.00
52,triplek,triplèk,0.95,1,1.00
53,trep,trép,0.87,1,0.00
54,tot,topèng,0.87,2,1.00
55,topeng,topèng,0.92,1,1.00
56,top,topèng,0.88,2,1.00
57,tong,topèng,0.91,2,1.00
58,titep,titèp,0.91,2,1.00
59,titel,titèl,0.91,1,1.00
60,titek,titék,0.91,2,1.00
61,tireh,tiréh,0.91,1,1.00
62,tiree,tirèe,0.91,3,1.00
63,tipoih,tipôih,0.92,1,1.00
64,tipee,tipèe,0.91,1,1.00
65,tiong,tiông,0.89,1,0.00
66,tinggong,tinggông,0.96,1,1.00
67,tilek,tilék,0.91,2,1.00
68,tikoh,tikôh,0.91,1,1.00
69,tiket,tikèt,0.91,1,1.00
70,tho,thô,0.82,1,0.00
71,teutop,teutôp,0.93,1,1.00
72,teurupong,teurupông,0.96,1,1.00
73,teurmometer,teurmomètèr,0.94,1,1.00
74,teureubeh,teureubéh,0.96,1,1.00
75,teupreh,teuprèh,0.95,1,1.00
76,teupong,teupông,0.94,2,1.00
77,teupileh,teupiléh,0.96,1,1.00
