No,Keyword,Expectation,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
1,yok,yôk,0.75,1,0.20,0.20,1.00
2,yoh,yôh,0.75,1,0.10,0.10,1.00
3,weng,wéng,0.80,1,0.20,0.20,1.00
4,weh,wèh,0.75,1,0.10,0.10,1.00
5,wase,wasé,0.80,1,0.20,0.20,1.00
6,wareh,waréh,0.83,1,0.30,0.30,1.00
7,wajek,wajék,0.83,1,0.10,0.10,1.00
8,wajeb,wajéb,0.83,1,0.10,0.10,1.00
9,utom,utôm,0.80,1,0.30,0.30,1.00
10,utoh,utôh,0.80,1,0.20,0.20,1.00
11,usos,usôs,0.80,1,0.20,0.20,1.00
12,use,usé,0.75,1,0.10,0.10,1.00
13,urotan,urôtan,0.86,1,0.20,0.20,1.00
14,urosan,urôsan,0.86,1,0.20,0.20,1.00
15,urong,urông,0.83,1,0.50,0.50,1.00
16,seukreng,seukréng,0.89,1,0.80,0.80,1.00
17,uree,urèe,0.80,1,0.30,0.30,1.00
18,unyet,unyèt,0.83,1,0.10,0.10,1.00
19,untong,untông,0.86,1,0.70,0.70,1.00
20,unggoi,unggôi,0.86,1,0.20,0.20,1.00
21,uleh,uléh,0.80,1,0.20,0.20,1.00
22,ulee,ulèe,0.80,1,0.40,0.40,1.00
23,ukoran,ukôran,0.86,1,0.20,0.20,1.00
24,ukom,ukôm,0.80,1,0.10,0.10,1.00
25,uko,ukô,0.75,1,0.20,0.20,1.00
26,ukee,ukeè,0.80,1,0.20,0.20,1.00
27,uke,ukeè,0.80,1,0.30,0.30,1.00
28,ujop,ujôp,0.80,1,0.20,0.20,1.00
29,ujong,ujông,0.83,1,0.20,0.20,1.00
30,udep,udép,0.80,1,0.10,0.10,1.00
31,tutoong,tutôong,0.88,1,0.20,0.20,1.00
32,tuto,tutô,0.80,1,0.30,0.30,1.00
33,turonan,turônan,0.88,1,0.10,0.10,1.00
34,turon-muron,turôn-murôn,0.85,1,0.10,0.10,1.00
35,tupee,tupée,0.83,1,0.20,0.20,1.00
36,tungkoi,tungkôi,0.88,1,0.60,0.60,1.00
37,tumpok,tumpôk,0.86,1,0.40,0.40,1.00
38,tumpoi,tumpôi,0.86,1,0.20,0.20,1.00
39,tumet,tumèt,0.83,1,0.20,0.20,1.00
40,tumon,tumôn,0.83,1,0.20,0.20,1.00
41,tulong,tulông,0.86,1,0.80,0.80,1.00
42,tuleh,tuléh,0.83,1,0.10,0.10,1.00
43,tuka-take,tuka-také,0.90,1,0.10,0.10,1.00
44,tujoh,tujôh,0.83,1,0.10,0.10,1.00
45,tujoan,tujôan,0.86,1,0.10,0.10,1.00
46,tudoh,tudôh,0.83,1,0.10,0.10,1.00
47,tuboh,tubôh,0.83,1,0.40,0.40,1.00
48,tubee,tubèe,0.83,1,0.20,0.20,1.00
49,tron,trôn,0.80,1,0.50,0.50,1.00
50,trompet,trompèt,0.88,1,0.10,0.10,1.00
51,troh,trôh,0.80,1,0.60,0.60,1.00
52,triplek,triplèk,0.88,1,0.10,0.10,1.00
53,trep,trép,0.80,1,0.20,0.20,1.00
54,tot,tôt,0.75,1,0.20,0.20,1.00
55,topeng,topèng,0.86,1,0.10,0.10,1.00
56,top,tôp,0.75,2,0.20,0.20,1.00
57,tong,tông,0.80,1,0.60,0.60,1.00
58,titep,titèp,0.83,1,0.20,0.20,1.00
59,titel,titèl,0.83,1,0.10,0.10,1.00
60,titek,titék,0.83,1,0.20,0.20,1.00
61,tireh,tiréh,0.83,1,0.10,0.10,1.00
62,tiree,tirèe,0.83,1,0.10,0.10,1.00
63,tipoih,tipôih,0.86,1,0.10,0.10,1.00
64,tipee,tipèe,0.83,1,0.10,0.10,1.00
65,tiong,tiông,0.83,1,0.10,0.10,1.00
66,tinggong,tinggông,0.89,1,0.40,0.40,1.00
67,tilek,tilék,0.83,1,0.30,0.30,1.00
68,tikoh,tikôh,0.83,1,0.20,0.20,1.00
69,tiket,tikèt,0.83,1,0.10,0.10,1.00
70,tho,thô,0.75,1,0.10,0.10,1.00
71,teutop,teutôp,0.86,1,0.30,0.30,1.00
72,teurupong,teurupông,0.90,1,0.50,0.50,1.00
73,teurmometer,teurmomètèr,0.85,1,0.10,0.10,1.00
74,teureubeh,teureubéh,0.90,1,0.90,0.90,1.00
75,teupreh,teuprèh,0.88,1,0.40,0.40,1.00
76,teupong,teupông,0.88,1,1.00,1.00,1.00
77,teupileh,teupiléh,0.89,1,0.20,0.20,1.00
78,teupeulindong,teupeulindông,0.93,1,0.10,0.10,1.00
79,teunumpok,teunumpôk,0.90,1,0.40,0.40,1.00
80,teuntee,teuntèe,0.88,1,0.20,0.20,1.00
81,teunireh,teuniréh,0.89,1,0.30,0.30,1.00
82,teuniree,teunirèe,0.89,1,0.30,0.30,1.00
83,teuneuboh,teuneubôh,0.90,1,0.60,0.60,1.00
84,teunaroh,teunarôh,0.89,1,0.70,0.70,1.00
85,teumiree,teumirèe,0.89,1,0.30,0.30,1.00
86,teumipee,teumipèe,0.89,1,0.20,0.20,1.00
87,teumeutot,teumeutôt,0.90,1,0.20,0.20,1.00
88,teumbon,teumbôn,0.88,1,0.30,0.30,1.00
89,teumasok,teumasôk,0.89,1,0.30,0.30,1.00
90,teumakot,teumakôt,0.89,1,0.20,0.20,1.00
91,teulok,teulôk,0.86,1,0.50,0.50,1.00
92,teulhon,teulhôn,0.88,1,0.40,0.40,1.00
93,teuleubeh,teuleubèh,0.90,1,0.30,0.30,1.00
94,teukeseh,teukeséh,0.89,1,0.20,0.20,1.00
95,teukejot,teukejôt,0.89,1,0.20,0.20,1.00
96,teugok,teugôk,0.86,1,0.80,0.80,1.00
97,teugoh,teugôh,0.86,3,1.00,1.00,1.00
98,teugo,teugô,0.83,1,0.80,0.80,1.00
99,teuceuek,teuceuèk,0.89,1,0.40,0.40,1.00
100,teuboh,teubôh,0.86,1,0.70,0.70,1.00
101,teubeng,teubéng,0.88,1,1.00,1.00,1.00
102,tet-tot,tèt-tot,0.88,1,0.10,0.10,1.00
103,tenda,tènda,0.83,1,0.30,0.30,1.00
104,tempe,témpé,0.71,1,0.20,0.20,1.00
105,tempe,témpé,0.71,1,0.20,0.20,1.00
106,tema,tèma,0.80,1,0.30,0.30,1.00
107,tem,tém,0.75,1,0.30,0.30,1.00
108,telepisi,télépisi,0.80,1,0.10,0.10,1.00
109,teksi,tèksi,0.83,1,0.10,0.10,1.00
110,tebat,tèbat,0.83,1,0.10,0.10,1.00
111,tauge,taugé,0.83,1,0.10,0.10,1.00
112,taroh,tarôh,0.83,1,0.50,0.50,1.00
113,tarep,tarép,0.83,1,0.10,0.10,1.00
114,tarek,tarék,0.83,1,0.10,0.10,1.00
115,tapeuse,tapeusé,0.88,1,0.20,0.20,1.00
116,tapeh,tapéh,0.83,1,0.10,0.10,1.00
