Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
yok,yôh,0.50,8,0.00,0.00,0.00
yoh,nyèh,0.60,10,0.00,0.00,0.00
weng,lông,0.60,10,0.00,0.00,0.00
weh,sôh,0.50,10,0.00,0.00,0.00
wase,hasé,0.60,8,0.00,0.00,0.00
wareh,garéh,0.67,6,0.00,0.00,0.00
wajek,wajéb,0.67,2,0.00,0.00,0.00
wajeb,waréh,0.50,9,0.00,0.00,0.00
utom,ukôm,0.60,6,0.00,0.00,0.00
utoh,uléh,0.60,6,0.00,0.00,0.00
usos,usé,0.50,6,0.00,0.00,0.00
use,ukeè,0.60,6,0.00,0.00,0.00
urotan,protèh,0.57,8,0.00,0.00,0.00
urosan,ukôran,0.57,6,0.00,0.00,0.00
urong,ujông,0.67,6,0.00,0.00,0.00
seukreng,seureulông,0.64,10,0.00,0.00,0.00
uree,ukeè,0.60,10,0.00,0.00,0.00
unyet,peuunyèt,0.56,10,0.00,0.00,0.00
untong,euntông,0.75,5,0.00,0.00,0.00
unggoi,panggôi,0.62,10,0.00,0.00,0.00
uleh,ulèe,0.60,9,0.00,0.00,0.00
ulee,ukeè,0.60,9,0.00,0.00,0.00
ukoran,pètran,0.57,10,0.00,0.00,0.00
ukom,èseukrém,0.50,7,0.00,0.00,0.00
uko,usé,0.50,9,0.00,0.00,0.00
ukee,ukôm,0.60,10,0.00,0.00,0.00
uke,cukô,0.60,10,0.00,0.00,0.00
ujop,ujông,0.50,8,0.00,0.00,0.00
ujong,tutôong,0.62,9,0.00,0.00,0.00
udep,tudôh,0.50,10,0.00,0.00,0.00
tutoong,tulông,0.57,9,0.00,0.00,0.00
tuto,teutôp,0.57,10,0.00,0.00,0.00
turonan,tujôan,0.57,9,0.00,0.00,0.00
turon-muron,turônan,0.45,8,0.00,0.00,0.00
tupee,tipèe,0.67,4,0.00,0.00,0.00
tungkoi,tangkéh,0.62,8,0.00,0.00,0.00
tumpok,lumpôk,0.71,4,0.00,0.00,0.00
tumpoi,témpé,0.57,10,0.00,0.00,0.00
tumet,teumeutôt,0.60,6,0.00,0.00,0.00
tumon,teumbôn,0.62,9,0.00,0.00,0.00
tulong,gulông,0.71,8,0.00,0.00,0.00
